"job.type","LATITUDE","LONGITUDE","date"
"NB",40.683034,-73.991282,2022-05-10
"NB",40.55486,-73.923824,2020-06-17
"NB",40.678919,-73.936482,2022-05-10
"NB",40.903135,-73.849777,2022-05-10
"NB",40.903135,-73.849777,2022-05-10
"NB",40.775941,-73.932721,2022-05-10
"NB",40.898971,-73.853874,2022-05-10
"DM",40.778667,-73.811838,2022-05-10
"DM",40.778667,-73.811838,2022-05-10
"NB",40.692368,-73.96135,2022-05-10
"DM",40.743759,-73.956254,2022-05-10
"DM",40.743759,-73.956254,2022-05-10
"DM",40.743682,-73.956283,2022-05-10
"DM",40.743682,-73.956283,2022-05-10
"DM",40.764225,-73.982391,2022-05-20
"NB",40.64158,-73.945684,2022-05-10
"NB",40.842322,-73.8819,2022-05-10
"NB",40.842322,-73.8819,2022-05-10
"NB",40.842322,-73.8819,2022-05-10
"NB",40.802161,-73.942071,2022-05-10
"NB",40.802161,-73.942071,2022-05-10
"NB",40.800923,-73.943,2022-05-10
"NB",40.800923,-73.943,2022-05-10
"NB",40.753896,-73.817312,2022-05-10
"NB",40.657756,-73.981435,2022-08-07
"DM",40.867431,-73.916752,2022-05-10
"DM",40.867431,-73.916752,2022-05-10
"NB",40.657783,-73.981482,2022-08-07
"NB",40.770256,-73.753134,2022-05-10
"NB",40.770256,-73.753134,2022-05-10
"NB",40.770256,-73.753134,2022-05-10
"NB",40.770256,-73.753134,2022-05-10
"NB",40.627318,-73.996008,2022-08-07
"NB",40.749018,-73.9432,2022-05-10
"NB",40.749018,-73.9432,2022-05-10
"NB",40.51069,-74.252683,2022-05-10
"NB",40.510885,-74.252594,2022-05-10
"NB",40.693595,-73.972994,2022-05-10
"NB",40.738442,-73.854876,2022-06-08
"NB",40.693595,-73.972994,2022-05-10
"NB",40.758084,-73.800534,2022-05-10
"NB",40.711626,-73.963107,2022-05-10
"DM",40.869385,-73.893248,2022-05-10
"NB",40.704015,-73.908852,2022-05-10
"DM",40.867135,-73.900002,2022-07-19
"NB",40.769352,-73.903644,2022-08-08
"NB",40.769915,-73.904267,2022-08-08
"NB",40.60116,-73.74135,2022-05-10
"NB",40.765507,-73.922504,2022-08-08
"NB",40.600903,-74.0927,2022-05-10
"NB",40.600845,-74.092653,2022-05-10
"NB",40.615862,-74.016886,2022-05-10
"NB",40.600788,-74.092609,2022-05-10
"NB",40.60073,-74.092566,2022-05-10
"NB",40.600672,-74.092523,2022-05-10
"NB",40.600615,-74.092479,2022-05-10
"NB",40.600557,-74.09244,2022-05-10
"NB",40.696583,-73.92566,2022-05-10
"NB",40.600497,-74.092396,2022-05-10
"NB",40.693401,-73.906494,2022-05-10
"NB",40.600497,-74.092396,2022-05-10
"NB",40.600439,-74.092357,2022-05-10
"NB",40.600379,-74.092317,2022-05-10
"NB",40.601585,-74.093892,2022-05-10
"NB",40.601528,-74.093907,2022-05-10
"NB",40.60147,-74.093921,2022-05-10
"NB",40.60141,-74.093935,2022-05-10
"NB",40.601352,-74.09395,2022-05-10
"NB",40.600979,-74.093816,2022-05-10
"NB",40.600674,-74.093599,2022-05-10
"NB",40.600828,-74.093708,2022-05-10
"NB",40.737065,-73.874916,2022-05-10
"NB",40.737065,-73.874909,2022-05-10
"NB",40.751862,-73.86274,2022-05-10
"NB",40.75184,-73.862725,2022-05-10
"NB",40.744355,-73.853906,2022-05-10
"NB",40.744366,-73.853863,2022-05-10
"NB",40.749109,-73.853957,2022-05-10
"NB",40.749109,-73.853954,2022-05-10
"NB",40.749109,-73.853954,2022-05-10
"NB",40.643885,-73.993658,2022-08-08
"NB",40.643885,-73.993658,2022-08-08
"NB",40.643885,-73.993658,2022-08-08
"NB",40.831084,-73.891496,2022-05-10
"NB",40.636276,-74.007801,2022-08-08
"NB",40.636276,-74.007801,2022-08-08
"NB",40.636276,-74.007801,2022-08-08
"NB",40.763727,-73.833345,2022-05-11
"NB",40.574548,-74.140639,2022-05-11
"NB",40.758079,-73.800534,2022-05-11
"NB",40.758079,-73.800534,2022-05-11
"NB",40.660709,-73.95243,2022-05-11
"NB",40.674915,-73.956422,2022-05-11
"NB",40.734272,-73.861556,2022-05-11
"NB",40.764785,-73.921989,2022-05-11
"NB",40.812869,-73.955807,2022-05-11
"NB",40.645602,-74.092344,2020-06-17
"DM",40.567069,-74.128624,2022-05-11
"DM",40.830992,-73.895698,2020-06-17
"NB",40.876828,-73.873326,2024-09-13
"NB",40.758084,-73.800534,2022-05-11
"NB",40.725754,-73.979064,2022-05-11
"NB",40.692689,-73.801317,2022-05-11
"NB",40.853245,-73.861099,2022-07-15
"NB",40.677714,-74.014691,2023-05-10
"NB",40.673991,-73.886008,2022-05-11
"NB",40.759483,-73.80128,2022-05-11
"NB",40.766727,-73.917091,2022-05-23
"NB",40.759447,-73.801284,2022-05-11
"NB",40.759428,-73.801288,2022-05-11
"NB",40.759502,-73.801276,2022-05-11
"DM",40.851413,-73.909532,2022-05-11
"NB",40.759466,-73.80128,2022-05-11
"NB",40.695955,-73.926905,2022-05-11
"NB",40.679832,-73.914888,2022-05-11
"DM",40.851413,-73.909532,2022-05-11
"NB",40.860296,-73.926125,2022-05-11
"NB",40.860296,-73.926125,2022-05-11
"NB",40.695955,-73.926905,2022-05-11
"NB",40.860296,-73.926125,2022-05-11
"NB",40.818565,-73.918118,2022-05-11
"NB",40.818565,-73.918118,2022-05-11
"NB",40.876789,-73.873355,2024-09-13
"NB",40.636513,-73.943944,2022-05-18
"DM",40.863192,-73.846321,2022-05-11
"NB",40.692368,-73.96135,2022-05-11
"NB",40.686474,-73.929782,2022-08-08
"NB",40.74476,-73.988816,2022-05-11
"DM",40.841817,-73.920294,2022-05-11
"DM",40.841782,-73.920319,2022-05-11
"DM",40.702877,-73.931168,2022-05-11
"DM",40.676977,-73.888458,2022-05-17
"DM",40.863192,-73.846321,2022-05-11
"NB",40.586215,-74.197243,2022-05-11
"NB",40.60116,-73.74135,2022-05-11
"NB",40.767224,-73.929657,2022-05-11
"NB",40.679221,-73.886894,2022-05-11
"NB",40.679221,-73.886894,2022-05-11
"DM",40.637807,-73.982067,2022-05-11
"DM",40.645846,-73.95194,2022-05-18
"NB",40.598683,-74.107741,2022-05-11
"DM",40.702877,-73.931168,2022-05-11
"NB",40.732079,-73.858674,2024-09-13
"DM",40.633292,-73.941886,2022-05-18
"DM",40.678505,-73.989948,2022-05-26
"DM",40.678505,-73.989948,2022-05-26
"DM",40.646505,-73.92666,2022-06-03
"DM",40.600258,-73.951584,2022-06-13
"DM",40.600222,-73.951577,2022-06-13
"NB",40.818565,-73.918118,2022-05-11
"NB",40.674019,-73.952882,2022-05-11
"NB",40.682874,-73.972937,2022-05-11
"NB",40.644765,-73.960913,2022-05-11
"DM",40.595203,-73.963589,2022-07-25
"NB",40.682874,-73.972937,2022-05-11
"NB",40.571144,-74.195327,2022-05-11
"NB",40.571144,-74.195327,2022-05-11
"NB",40.655274,-73.976642,2022-05-16
"NB",40.679221,-73.886894,2022-05-12
"DM",40.633441,-74.109502,2022-05-12
"NB",40.6078,-73.819004,2022-08-08
"NB",40.593267,-74.188737,2022-05-12
"DM",40.86854,-73.867246,2022-05-12
"NB",40.748029,-73.946987,2022-05-12
"NB",40.842214,-73.883573,2022-05-12
"NB",40.824022,-73.901339,2022-05-12
"DM",40.86854,-73.867246,2022-05-12
"NB",40.679966,-73.778623,2022-05-12
"NB",40.679966,-73.778623,2022-05-12
